State,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,Type
Andhra Pradesh,"5,814","6,584","6,959","7,257","7,624","7,938","8,925","9,570","10,429","11,203","12,088","12,762","13,007","9,656","10,817","12,178","13,725","15,044",Milk Production
Arunachal Pradesh,42,46,46,48,48,49,32,24,26,28,22,23,43,46,50,53,54,55,Milk Production
Assam,682,705,727,739,747,750,752,753,756,790,796,800,815,829,843,861,872,882,Milk Production
Bihar,"2,664","2,869","3,180","4,743","5,060","5,451","5,783","5,934","6,124","6,517","6,643","6,845","7,197","7,775","8,288","8,711","9,242","9,818",Milk Production
Chhattisgarh,795,804,812,831,839,849,866,908,956,"1,029","1,119","1,164","1,209","1,232","1,277","1,374","1,469","1,567",Milk Production
Goa,45,46,48,57,56,57,58,59,59,60,60,61,68,67,54,51,55,57,Milk Production
Gujarat,"5,862","6,089","6,421","6,745","6,960","7,533","7,911","8,386","8,844","9,321","9,817","10,315","11,112","11,691","12,262","12,784","13,569","14,493",Milk Production
Haryana,"4,978","5,124","5,221","5,222","5,299","5,366","5,442","5,745","6,006","6,267","6,661","7,040","7,442","7,901","8,381","8,975","9,809","10,726",Milk Production
Himachal Pradesh,756,773,786,870,869,933,"1,007","1,026",971,"1,102","1,120","1,139","1,151","1,172","1,283","1,329","1,392","1,460",Milk Production
Jammu & Kashmir,"1,360","1,389","1,414","1,422","1,400","1,400","1,519","1,565","1,592","1,609","1,614","1,631","1,615","1,951","2,273","2,376","2,460","2,540",Milk Production
Jharkhand,940,952,954,"1,330","1,335","1,401","1,442","1,466","1,463","1,555","1,745","1,679","1,700","1,734","1,812","1,894","2,016","2,183",Milk Production
Karnataka,"4,797","4,539","3,857","3,917","4,022","4,124","4,244","4,538","4,822","5,114","5,447","5,718","5,997","6,121","6,344","6,562","7,137","7,901",Milk Production
Kerala,"2,718","2,419","2,111","2,025","2,063","2,119","2,253","2,441","2,509","2,645","2,716","2,791","2,655","2,711","2,650","2,520","2,576","2,548",Milk Production
Madhya Pradesh,"5,283","5,343","5,388","5,506","6,283","6,374","6,572","6,855","7,167","7,514","8,149","8,838","9,599","10,779","12,148","13,445","14,713","15,911",Milk Production
Maharashtra,"6,094","6,238","6,379","6,567","6,769","6,978","7,210","7,455","7,679","8,044","8,469","8,734","9,089","9,542","10,153","10,402","11,102","11,655",Milk Production
Manipur,68,69,71,75,77,77,78,78,78,78,79,80,82,82,79,79,82,86,Milk Production
Meghalaya,66,68,69,71,73,74,77,77,78,79,80,81,82,83,84,84,85,87,Milk Production
Mizoram,14,15,15,16,15,16,17,17,11,11,14,14,15,20,22,24,25,26,Milk Production
Nagaland,57,58,63,69,74,67,45,53,78,76,78,79,81,76,77,79,74,73,Milk Production
Odisha,929,941,997,"1,283","1,342","1,431","1,625","1,598","1,651","1,671","1,721","1,724","1,861","1,903","1,930","2,003","2,088","2,311",Milk Production
Punjab,"7,932","8,173","8,391","8,554","8,909","9,168","9,282","9,387","9,389","9,423","9,551","9,724","10,011","10,351","10,774","11,282","11,855","12,599",Milk Production
Rajasthan,"7,758","7,789","8,054","8,310","8,713","10,309","11,377","11,931","12,330","13,234","13,512","13,946","14,573","16,934","18,500","20,850","22,427","23,668",Milk Production
Sikkim,37,45,48,46,48,49,42,42,44,43,45,42,46,50,67,54,59,61,Milk Production
Tamil Nadu,"4,988","4,622","4,752","4,784","5,474","6,277","6,540","6,651","6,787","6,831","6,968","7,005","7,049","7,132","7,244","7,556","7,742","8,362",Milk Production
Telangana,,,,,,,,,,,,,,"4,207","4,442","4,681","4,965","5,416",Milk Production
Tripura,90,79,84,86,87,89,91,96,100,104,111,118,130,141,152,160,174,185,Milk Production
Uttar Pradesh,"14,648","15,288","15,943","16,512","17,356","18,094","18,861","19,537","20,203","21,031","22,556","23,330","24,194","25,198","26,387","27,770","29,052","30,519",Milk Production
Uttarakhand,"1,066","1,079","1,188","1,195","1,206","1,213","1,221","1,230","1,377","1,383","1,417","1,478","1,550","1,565","1,656","1,692","1,742","1,792",Milk Production
West Bengal,"3,515","3,600","3,686","3,790","3,891","3,983","4,087","4,176","4,300","4,471","4,672","4,859","4,906","4,961","5,038","5,183","5,389","5,607",Milk Production
A&N Islands,23,26,25,24,20,23,24,26,24,25,26,21,14,16,15,16,17,18,Milk Production
Chandigarh,43,43,44,43,46,46,47,47,46,45,45,44,44,44,43,36,42,45,Milk Production
D & N Haveli,8,8,8,4,5,5,10,10,10,11,11,11,11,9,9,8,8,,Milk Production
Daman & Diu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Milk Production
Delhi,294,296,299,303,310,288,445,450,466,480,502,287,284,280,281,279,279,,Milk Production
Lakshadweep,2,2,1,1,2,2,2,2,2,2,2,2,6,4,3,3,3,4,Milk Production
Puducherry,37,37,40,41,43,45,46,46,46,47,45,47,47,48,48,48,49,49,Milk Production
Andhra Pradesh,209,231,238,250,260,268,298,316,342,364,391,409,413,436,475,522,574,623,Per Capita Availibility
Arunachal Pradesh,105,112,109,114,113,114,73,55,59,63,44,49,93,98,105,109,111,112,Per Capita Availibility
Assam,70,71,71,72,72,71,70,70,69,71,70,69,69,70,70,71,71,71,Per Capita Availibility
Bihar,88,92,100,147,154,163,170,172,175,184,175,188,195,208,219,228,239,251,Per Capita Availibility
Chhattisgarh,105,103,102,103,103,102,103,106,110,117,120,127,130,130,133,141,149,157,Per Capita Availibility
Goa,91,91,93,110,105,104,102,99,96,93,113,92,98,94,74,68,70,71,Per Capita Availibility
Gujarat,317,321,330,344,349,372,385,402,418,435,445,476,506,527,545,563,592,626,Per Capita Availibility
Haryana,645,647,643,631,628,624,621,644,662,679,720,767,800,839,877,930,1005,1087,Per Capita Availibility
Himachal Pradesh,341,339,337,378,373,393,420,424,397,446,447,460,461,466,505,521,542,565,Per Capita Availibility
Jammu & Kashmir,367,365,363,364,353,348,372,378,379,378,352,316,302,352,395,400,401,401,Per Capita Availibility
Jharkhand,96,94,92,127,126,130,132,132,130,136,145,146,146,147,152,157,165,177,Per Capita Availibility
Karnataka,249,229,190,194,197,199,203,215,226,237,244,262,272,276,282,291,313,344,Per Capita Availibility
Kerala,234,203,173,169,171,174,183,197,201,210,223,216,203,206,200,189,192,189,Per Capita Availibility
Madhya Pradesh,240,236,233,233,262,260,264,271,278,287,308,327,349,386,428,468,505,538,Per Capita Availibility
Maharashtra,172,172,172,176,178,181,184,188,190,197,206,213,219,228,239,243,256,266,Per Capita Availibility
Manipur,86,85,85,90,92,91,91,90,88,88,80,80,80,80,76,75,77,80,Per Capita Availibility
Meghalaya,78,78,78,81,82,81,83,83,83,83,74,83,84,84,83,83,83,84,Per Capita Availibility
Mizoram,43,45,44,46,43,46,47,47,29,31,35,36,40,53,57,62,63,64,Per Capita Availibility
Nagaland,78,78,83,90,96,86,58,67,96,93,108,94,95,88,89,91,84,81,Per Capita Availibility
Odisha,69,68,71,92,95,100,113,110,112,113,112,114,122,124,124,128,132,145,Per Capita Availibility
Punjab,892,895,898,917,943,957,956,955,944,937,945,961,980,1003,1032,1075,1120,1181,Per Capita Availibility
Rajasthan,376,368,371,376,387,449,486,501,509,538,539,555,572,655,704,785,834,870,Per Capita Availibility
Sikkim,187,222,231,221,232,231,195,194,200,194,202,186,200,215,282,228,244,251,Per Capita Availibility
Tamil Nadu,219,198,198,204,231,263,272,274,278,278,265,280,280,282,283,294,300,322,Per Capita Availibility
Tripura,77,66,68,70,70,71,72,74,77,80,83,88,95,103,109,114,123,129,Per Capita Availibility
Uttar Pradesh,241,245,250,254,262,267,274,278,283,289,310,312,318,326,335,348,359,371,Per Capita Availibility
Uttarakhand,344,339,365,364,361,357,354,351,387,383,384,403,418,416,434,440,447,455,Per Capita Availibility
West Bengal,120,120,120,124,126,127,129,131,133,137,140,145,145,145,145,148,153,158,Per Capita Availibility
A&N Islands,177,195,183,165,135,148,146,154,137,142,187,131,84,90,87,89,92,96,Per Capita Availibility
Chandigarh,131,127,127,115,116,112,106,101,95,87,117,103,101,97,93,76,86,90,Per Capita Availibility
D & N Haveli,100,97,95,45,53,50,94,91,86,83,89,101,98,74,72,62,62,62,Per Capita Availibility
Daman & Diu,17,17,16,10,11,12,15,15,15,14,11,13,10,10,10,5,9,11,Per Capita Availibility
Delhi,58,57,56,54,54,48,73,72,72,72,82,41,39,37,36,35,35,35,Per Capita Availibility
Lakshadweep,90,87,43,45,64,79,79,84,84,71,85,82,219,147,113,110,120,119,Per Capita Availibility
Puducherry,104,101,107,108,108,110,108,101,96,94,99,113,111,110,108,107,106,106,Per Capita Availibility
Andhra Pradesh,"2,670","2,962","3,104","3,358","3,408","3,595","3,982","4,780","5,003","3,896","4,074","4,198","3,905","4,047","4,073","3,998","4,386",,Artificial Insemination
Arunachal Pradesh,-,-,-,0,0,0,1,690,601,"2,216","2,053","2,020","2,027","2,070","2,293","2,313","2,396",,Artificial Insemination
Assam,91,88,109,92,109,128,144,134,211,211,273,260,330,322,217,211,211,,Artificial Insemination
Bihar,26,45,59,74,89,238,251,514,950,"1,948","2,116","2,473","2,414","2,624","2,633","2,796","2,823",,Artificial Insemination
Goa,9,9,11,11,10,10,24,23,24,23,24,24,31,33,35,33,34,,Artificial Insemination
Gujarat,645,776,717,"2,856","3,207","3,695","4,057","4,371","5,167","5,390","5,547","5,897","6,147","6,609","7,054","7,376","7,437",,Artificial Insemination
Haryana,802,899,935,"1,212","1,422","1,739","1,897","2,011","2,171","2,301","2,866","2,975","3,268","3,210","3,271","3,138","3,986",,Artificial Insemination
Himachal Pradesh,394,416,419,453,498,525,572,628,687,714,801,890,928,976,990,999,"1,024",,Artificial Insemination
Jammu & Kashmir,160,177,207,397,445,428,283,300,317,318,696,799,839,867,889,658,971,,Artificial Insemination
Karnataka,"1,867","2,046","2,108","3,055","4,005","4,154","4,673","4,958","5,268","5,579","5,893","5,339","5,246","5,673","5,630","6,120","6,672",,Artificial Insemination
Kerala,"1,249","1,369","1,231","1,176","1,097","1,154","1,081","1,217","1,328","1,414","1,545","1,340","1,225","1,277","1,300","1,211","1,111",,Artificial Insemination
Madhya Pradesh,292,345,398,473,597,661,748,782,849,909,"1,141","1,205","1,277","2,388","2,725","2,823","2,690",,Artificial Insemination
Maharashtra,"1,960","1,960","3,425","2,312","2,347","2,488","2,412","3,153","1,890","1,934","1,940","2,184","2,327","2,443","2,225","2,185","2,306",,Artificial Insemination
Manipur,15,10,40,14,15,16,13,12,13,11,12,14,14,14,12,12,13,,Artificial Insemination
Meghalaya,29,24,26,28,26,22,24,27,28,28,27,27,27,27,29,28,25,,Artificial Insemination
Mizoram,6,5,5,5,5,5,4,4,4,4,3,3,5,5,5,5,5,,Artificial Insemination
Nagaland,5,5,30,24,26,26,24,20,50,50,,,,32,31,30,30,,Artificial Insemination
Odisha,334,449,497,594,654,812,894,"1,023","1,166","1,238","1,223","1,296","1,435","1,518","1,633","1,544","1,424",,Artificial Insemination
Punjab,"2,229","2,743","3,012","2,773","2,834","2,286","3,303","3,077","3,445","3,576","4,007","4,227","3,643","3,831","4,175","3,986","3,937",,Artificial Insemination
Rajasthan,638,702,877,968,"1,057","1,228","1,491","1,726","1,851","1,913","2,002","2,957","3,156","3,386","3,100","3,861","4,231",,Artificial Insemination
Sikkim,-,-,-,5,5,6,7,8,10,10,11,12,13,13,13,13,15,,Artificial Insemination
